location;new_cases_smoothed;new_deaths_smoothed;reproduction_rate;positive_rate;people_fully_vaccinated_per_hundred;stringency_index
Singapore;507.0;0.143;0.88;;;78.7
Singapore;501.714;0.143;0.89;;;78.7
Singapore;491.0;0.0;0.91;;;78.7
Singapore;490.571;0.0;0.91;;;78.7
Singapore;471.143;0.0;0.91;;;78.7
Singapore;466.857;0.0;0.91;;;78.7
Singapore;476.0;0.143;0.91;;;71.3
Singapore;499.0;0.143;0.89;;;71.3
Singapore;504.143;0.143;0.87;;;71.3
Singapore;524.714;0.143;0.84;;;71.3
Singapore;474.714;0.143;0.84;;;71.3
Singapore;451.571;0.286;0.84;;;71.3
Singapore;432.286;0.286;0.84;;;71.3
Singapore;429.143;0.143;0.83;;;71.3
Singapore;382.571;0.143;0.84;;;71.3
Singapore;365.714;0.143;0.84;;;71.3
Singapore;352.143;0.143;0.84;;;71.3
Singapore;381.0;0.143;0.81;;;71.3
Singapore;381.429;0.143;0.79;;;71.3
Singapore;384.857;0.143;0.76;;;71.3
Singapore;360.286;0.143;0.74;;;71.3
Singapore;350.714;0.143;0.73;;;71.3
Singapore;321.571;0.143;0.73;;;71.3
Singapore;298.0;0.143;0.72;;;56.48
Singapore;252.143;0.143;0.74;;;56.48
Singapore;233.714;0.0;0.75;;;56.48
Singapore;213.0;0.0;0.76;;;56.48
Singapore;213.571;0.0;0.76;;;56.48
Singapore;209.0;0.0;0.78;;;56.48
Singapore;201.0;0.0;0.8;;;56.48
Singapore;180.429;0.0;0.84;;;56.48
Singapore;191.429;0.0;0.87;;;56.48
Singapore;201.857;0.0;0.88;;;56.48
Singapore;194.857;0.0;0.89;;;56.48
Singapore;192.571;0.0;0.89;;;56.48
Singapore;210.714;0.0;0.89;;;56.48
Singapore;214.143;0.0;0.88;;;56.48
Singapore;224.857;0.0;0.88;;;56.48
Singapore;217.714;0.0;0.88;;;56.48
Singapore;202.571;0.0;0.89;;;56.48
Singapore;191.571;0.0;0.91;;;56.48
Singapore;188.857;0.0;0.92;;;56.48
Singapore;176.143;0.0;0.94;;;56.48
Singapore;167.857;0.0;0.97;;;56.48
Singapore;158.857;0.0;1.02;;;56.48
Singapore;161.857;0.0;1.07;;;56.48
Singapore;159.714;0.0;1.12;;;56.48
Singapore;165.714;0.0;1.17;;;56.48
Singapore;185.571;0.0;1.19;;;56.48
Singapore;212.714;0.143;1.18;;;56.48
Singapore;225.857;0.143;1.18;;;56.48
Singapore;243.429;0.143;1.18;;;56.48
Singapore;263.0;0.143;1.16;;;56.48
Singapore;267.571;0.143;1.17;;;56.48
Singapore;278.857;0.143;1.18;;;56.48
Singapore;250.429;0.143;1.21;;;56.48
Singapore;257.857;0.0;1.22;;;56.48
Singapore;266.571;0.0;1.24;;;56.48
Singapore;281.714;0.0;1.24;;;56.48
Singapore;274.571;0.0;1.26;;;56.48
Singapore;319.0;0.0;1.24;;;56.48
Singapore;351.0;0.0;1.2;;;56.48
Singapore;400.429;0.0;1.14;;;56.48
Singapore;394.714;0.0;1.09;;;56.48
Singapore;398.143;0.0;1.06;;;56.48
Singapore;387.286;0.0;1.05;;;56.48
Singapore;404.286;0.0;1.02;;;56.48
Singapore;374.857;0.0;1.0;;;56.48
Singapore;350.857;0.0;0.99;;;56.48
Singapore;316.143;0.0;0.99;;;56.48
Singapore;307.0;0.0;0.98;;;56.48
Singapore;389.0;0.0;0.89;;;56.48
Singapore;392.286;0.0;0.81;;;56.48
Singapore;370.286;0.0;0.73;;;56.48
Singapore;345.286;0.0;0.68;;;56.48
Singapore;325.571;0.0;0.63;;;56.48
Singapore;320.143;0.0;0.57;;;56.48
Singapore;286.714;0.0;0.54;;;56.48
Singapore;163.0;0.0;0.53;;;56.48
Singapore;134.571;0.0;0.53;;;56.48
Singapore;111.857;0.0;0.54;;;56.48
Singapore;104.571;0.0;0.55;;;56.48
Singapore;91.857;0.0;0.57;;;56.48
Singapore;78.0;0.0;0.58;;;56.48
Singapore;83.571;0.0;0.58;;;56.48
Singapore;90.857;0.0;0.59;;;56.48
Singapore;86.0;0.0;0.6;;;56.48
Singapore;90.857;0.0;0.61;;;56.48
Singapore;86.429;0.0;0.61;;;56.48
Singapore;86.571;0.0;0.61;;;56.48
Singapore;80.857;0.0;0.61;;;56.48
Singapore;71.0;0.0;0.63;;;56.48
Singapore;66.286;0.0;0.66;;;56.48
Singapore;67.571;0.0;0.67;;;56.48
Singapore;64.286;0.0;0.66;;;56.48
Singapore;64.429;0.0;0.66;;;56.48
Singapore;59.714;0.0;0.65;;;56.48
Singapore;58.286;0.0;0.65;;;56.48
Singapore;59.571;0.0;0.65;;;56.48
Singapore;52.143;0.0;0.68;;;56.48
Singapore;48.0;0.0;0.71;;;56.48
Singapore;40.286;0.0;0.74;;;56.48
Singapore;37.857;0.0;0.78;;;56.48
Singapore;35.857;0.0;0.81;;;56.48
Singapore;33.143;0.0;0.86;;;56.48
Singapore;34.143;0.0;0.91;;;56.48
Singapore;43.714;0.0;0.92;;;56.48
Singapore;45.857;0.0;0.91;;;56.48
Singapore;52.429;0.0;0.87;;;56.48
Singapore;53.571;0.0;0.83;;;56.48
